airline,airline_code,year,month,total_flights,delayed_flights,avg_delay_mins,avg_arr_delay,carrier_delay,weather_delay,nas_delay,late_ac_delay,delay_rate
Mesa Airlines Inc,YV,2019,10,2073,427,15.56,11.648818137964303,5.6541244573082485,1.0574047274481428,2.8586589483839844,9.239266763145201,0.20598166907863
Mesa Airlines Inc,YV,2019,11,1887,281,8.51,3.5892951775304716,4.859565447800742,0.20402755696873343,0.8341282458929518,6.005829358770535,0.1489136195018548
Mesa Airlines Inc,YV,2019,12,1893,454,20.29,16.182250396196512,8.546222926571579,0.8415213946117274,1.6603275224511358,11.578975171685157,0.2398309561542525
Mesa Airlines Inc,YV,2022,1,996,221,18.5,9.740963855421686,11.740963855421686,0.6184738955823293,2.3042168674698793,4.916666666666667,0.22188755020080322
Mesa Airlines Inc,YV,2022,2,932,200,16.07,9.141630901287554,8.67274678111588,1.0793991416309012,2.313304721030043,5.618025751072961,0.2145922746781116
Mesa Airlines Inc,YV,2022,3,912,155,10.08,3.406798245614035,5.405701754385965,1.400219298245614,2.3914473684210527,2.7664473684210527,0.1699561403508772
Mesa Airlines Inc,YV,2022,4,1033,144,9.09,2.664085188770571,5.438528557599225,0.7579864472410455,1.5043562439496612,4.0232333010648595,0.1393998063891578
Mesa Airlines Inc,YV,2022,5,1025,182,12.95,5.444878048780488,6.990243902439024,0.7580487804878049,2.168780487804878,4.951219512195122,0.1775609756097561
Mesa Airlines Inc,YV,2022,6,1005,229,23.0,17.048756218905474,13.692537313432835,0.9890547263681592,1.9701492537313432,7.5810945273631845,0.22786069651741295
Mesa Airlines Inc,YV,2022,7,942,200,16.17,9.48619957537155,7.773885350318471,1.1093418259023355,1.6019108280254777,7.549893842887474,0.21231422505307856
Mesa Airlines Inc,YV,2022,8,865,200,20.56,14.769942196531792,10.68092485549133,1.8127167630057803,2.967630057803468,7.652023121387283,0.23121387283236994
Mesa Airlines Inc,YV,2022,9,853,143,10.55,2.1629542790152403,6.05158264947245,0.7690504103165299,1.652989449003517,4.484173505275498,0.16764361078546308
Mesa Airlines Inc,YV,2022,10,885,137,8.58,2.752542372881356,5.8192090395480225,0.6372881355932203,1.840677966101695,3.623728813559322,0.15480225988700566
Mesa Airlines Inc,YV,2022,11,892,140,9.36,4.205156950672646,4.424887892376682,1.1345291479820627,2.3856502242152464,4.6423766816143495,0.15695067264573992
Mesa Airlines Inc,YV,2022,12,808,168,16.31,11.31559405940594,6.143564356435643,1.6806930693069306,1.9925742574257426,8.371287128712872,0.2079207920792079
PSA Airlines Inc,OH,2019,1,2273,345,6.75,1.9938407391113067,2.9480862296524415,0.3664760228772547,1.6893972723273207,4.319401671799384,0.1517817861856577
PSA Airlines Inc,OH,2019,2,2011,398,11.01,6.398806563898558,3.5808055693684735,0.8547986076578816,1.9985082048731975,6.787667826951766,0.1979114868224764
PSA Airlines Inc,OH,2019,3,2499,429,7.54,2.5650260104041616,3.0908363345338135,0.2929171668667467,1.3565426170468187,4.594237695078031,0.1716686674669868
PSA Airlines Inc,OH,2019,4,2383,527,14.83,11.242971044901385,4.245488879563576,1.5157364666386908,2.464960134284515,9.086865295845573,0.22114981116240034
PSA Airlines Inc,OH,2019,5,2455,396,8.82,5.642769857433809,2.3735234215885948,0.8435845213849287,2.4924643584521387,6.269246435845214,0.16130346232179227
PSA Airlines Inc,OH,2019,6,2452,569,14.68,12.06484502446982,4.109298531810767,1.302610114192496,3.279363784665579,8.837275693311582,0.23205546492659054
PSA Airlines Inc,OH,2019,7,2431,477,11.04,8.22953517071164,3.7527766351295764,1.1386260798025505,3.1760592348827643,6.640477169888935,0.19621554915672562
PSA Airlines Inc,OH,2019,8,2524,551,15.79,12.601426307448495,4.238906497622821,1.6759112519809827,3.0043581616481774,10.472662440570524,0.2183042789223455
PSA Airlines Inc,OH,2019,9,2309,304,5.35,0.29190125595495886,3.2732784755305326,0.24036379385015158,1.2880034647033347,4.628843655262018,0.13165872672152448
PSA Airlines Inc,OH,2019,10,2477,419,7.22,3.26806620912394,2.998788857488898,0.3451756156641098,1.4917238595074687,5.709729511505854,0.16915623738393218
PSA Airlines Inc,OH,2019,11,2460,450,8.47,3.4260162601626014,3.282520325203252,0.01056910569105691,1.2382113821138212,6.6865853658536585,0.18292682926829268
PSA Airlines Inc,OH,2019,12,2389,501,11.6,8.992046881540393,3.7383842611971536,0.30514859773964004,2.5671829217245707,8.316031812473838,0.20971117622436167
PSA Airlines Inc,OH,2022,1,1843,377,14.03,10.107433532284318,6.258274552360282,1.5122083559414,3.362452523060228,7.723277265328269,0.20455778621812262
PSA Airlines Inc,OH,2022,2,1900,405,12.18,7.975789473684211,4.523684210526316,0.31105263157894736,1.936842105263158,8.887368421052631,0.2131578947368421
PSA Airlines Inc,OH,2022,3,1971,366,11.4,7.8173515981735155,3.9660071029934043,0.5398274987316083,2.6818873668188736,8.159817351598173,0.1856925418569254
PSA Airlines Inc,OH,2022,4,1848,317,7.73,2.919372294372294,3.91504329004329,0.4107142857142857,1.475108225108225,5.205627705627705,0.17153679653679654
PSA Airlines Inc,OH,2022,5,1870,354,12.1,8.241176470588234,5.439037433155081,1.3732620320855615,2.211764705882353,6.46524064171123,0.1893048128342246
PSA Airlines Inc,OH,2022,6,1891,406,13.54,11.474352194606029,4.944473823373876,1.4653622421998942,3.452670544685352,7.7609730301427815,0.21470121628767846
PSA Airlines Inc,OH,2022,7,1874,382,12.26,11.63393810032017,4.5522945570971185,1.7193169690501602,3.7406616862326576,7.376200640341516,0.20384204909284953
PSA Airlines Inc,OH,2022,8,1750,320,9.92,7.255428571428571,3.1702857142857144,2.832,2.880571428571429,6.009714285714286,0.18285714285714286
PSA Airlines Inc,OH,2022,9,1680,169,0.84,-2.592857142857143,1.9220238095238096,0.11011904761904762,1.4333333333333333,2.9380952380952383,0.1005952380952381
PSA Airlines Inc,OH,2022,10,1632,162,2.13,-1.5906862745098038,2.4791666666666665,0.09252450980392157,1.2634803921568627,3.105392156862745,0.09926470588235294
PSA Airlines Inc,OH,2022,11,1503,203,6.97,3.932135728542914,4.367265469061876,0.3226879574184963,1.9108449767132403,5.497005988023952,0.13506320691949433
PSA Airlines Inc,OH,2022,12,1435,175,5.29,2.273170731707317,2.8599303135888503,1.4689895470383276,2.2780487804878047,3.832752613240418,0.12195121951219512
PSA Airlines Inc,OH,2023,1,1608,211,6.19,2.1747512437810945,3.0,1.6486318407960199,2.679726368159204,4.3283582089552235,0.13121890547263682
PSA Airlines Inc,OH,2023,2,1453,134,2.12,-2.8286304198210597,3.4053682037164488,0.6145905024088094,1.2918100481761872,2.5402615278733656,0.09222298692360634
PSA Airlines Inc,OH,2023,3,1705,226,5.55,2.1929618768328445,3.38475073313783,0.8674486803519061,1.6035190615835777,4.340762463343109,0.13255131964809383
PSA Airlines Inc,OH,2023,4,1626,223,5.86,2.88929889298893,2.9649446494464944,0.8560885608856088,2.5055350553505535,5.1722017220172205,0.13714637146371464
PSA Airlines Inc,OH,2023,5,1561,161,2.86,-2.2549647661755285,2.764253683536195,0.3452914798206278,0.9705317104420244,3.6976297245355543,0.1031390134529148
PSA Airlines Inc,OH,2023,6,1645,368,13.82,11.775683890577508,5.6534954407294835,1.1537993920972645,3.065045592705167,8.179331306990882,0.2237082066869301
PSA Airlines Inc,OH,2023,7,1664,410,18.67,16.518028846153847,6.147836538461538,3.21875,3.765625,10.331129807692308,0.24639423076923078
PSA Airlines Inc,OH,2023,8,1635,306,11.42,7.48440366972477,3.9871559633027522,2.36697247706422,2.874006116207951,6.992048929663609,0.1871559633027523
Republic Airline,YX,2019,1,2471,468,11.31,8.696883852691219,4.164305949008498,0.6556050182112505,6.554836098745447,5.7507082152974505,0.18939700526102793
Republic Airline,YX,2019,2,2385,377,7.23,3.7169811320754715,2.5740041928721173,0.8251572327044026,4.131656184486373,4.807966457023061,0.1580712788259958
Republic Airline,YX,2019,3,2675,376,5.46,1.2239252336448598,2.549158878504673,0.5794392523364486,3.3342056074766355,3.467663551401869,0.1405607476635514
